"DisplayName","SystemId","HasVideoHQ"
"Nintendo Pokemon Mini","Nintendo_Pokemon_Mini","True"
"Nintendo Satellaview","Nintendo_Satellaview","False"
"Nintendo SNES","Nintendo_SNES","True"
"Nintendo Super Famicom","Nintendo_Super_Famicom","True"
"Nintendo Super Gameboy","Nintendo_Super_Gameboy","True"
"Nintendo Switch","Nintendo_Switch","True"
"Nintendo Virtual Boy","Nintendo_Virtual_Boy","True"
"Nintendo Wii","Nintendo_Wii","True"
"Nintendo Wii U","Nintendo_Wii_U","True"
"Nintendo WiiWare","Nintendo_WiiWare","True"
"OpenBOR","OpenBOR","True"
"Panasonic 3DO","Panasonic_3DO","True"
"Philips CD-i","Philips_CD_i","True"
"Philips VG 5000","Philips_VG_5000","True"
"Philips Videopac+","Philips_Videopac_","False"
"Pioneer Palcom Laserdisc","Pioneer_Palcom_Laserdisc","False"
"PopCap","PopCap","True"
"Radio-86RK Mikrosha","Radio_86RK_Mikrosha","False"
"RCA Studio II","RCA_Studio_II","True"
"ResidualVM","ResidualVM","True"
"Sammy Atomiswave","Sammy_Atomiswave","True"
"ScummVM","ScummVM","True"
"Sega 32X","Sega_32X","True"
"Sega CD","Sega_CD","True"
"Sega Dreamcast","Sega_Dreamcast","True"
"Sega Dreamcast VMU","Sega_Dreamcast_VMU","False"
"Sega Game Gear","Sega_Game_Gear","True"
"Sega Genesis","Sega_Genesis","True"
"Sega Hikaru","Sega_Hikaru","True"
"Sega Master System","Sega_Master_System","True"
"Sega Model 2","Sega_Model_2","True"
"Sega Model 3","Sega_Model_3","True"
"Sega Naomi","Sega_Naomi","True"
"Sega Pico","Sega_Pico","False"
"Sega Saturn","Sega_Saturn","True"
"Sega SC-3000","Sega_SC_3000","True"
"Sega SG-1000","Sega_SG_1000","True"
"Sega ST-V","Sega_ST_V","True"
"Sega Triforce","Sega_Triforce","True"
"Seta Aleck64","Seta_Aleck64","True"
"Sharp MZ-2500","Sharp_MZ_2500","False"
"Sharp X1","Sharp_X1","False"
"Sharp X68000","Sharp_X68000","True"
"Sinclair ZX Spectrum","Sinclair_ZX_Spectrum","True"
"Sinclair ZX-81","Sinclair_ZX_81","False"
"SNK Classics","SNK_Classics","True"
"SNK Neo-Geo AES","SNK_Neo_Geo_AES","True"
"SNK Neo-Geo CD","SNK_Neo_Geo_CD","True"
"SNK Neo-Geo MVS","SNK_Neo_Geo_MVS","True"
"SNK Neo-Geo Pocket","SNK_Neo_Geo_Pocket","True"
"SNK Neo-Geo Pocket Color","SNK_Neo_Geo_Pocket_Color","True"
"Sony Playstation","Sony_Playstation","True"
